matrixname,type,dim,nbnnz,nbnnzperrow,hsum,factox,scalar,1rVc,2rVc,4rVc,8rVc,1rVcpar,2rVcpar,4rVcpar,8rVcpar,valvec1vs,ratio1vs,valvec2vs,ratio2vs,valvec4vs,ratio4vs,valvec8vs,ratio8vs
ldoor,float,952203,46522475,48.8577,yes,yes,0.357269,1.34051,1.56525,1.95946,1.47818,53.4319,60.0959,67.7296,52.2254,8.95403,55.96,16.4252,51.32,28.1874,44.04,43.9071,34.30
ldoor,float,952203,46522475,48.8577,yes,no,0.357184,1.34,1.49267,1.58867,1.50942,52.8729,57.9232,59.3779,54.2617,8.95403,55.96,16.4252,51.32,28.1874,44.04,43.9071,34.30
mixtank,double,29957,1995041,66.5968,no,no,0.370156,0.672712,0.711606,0.543029,0.393103,23.8334,27.4059,22.3504,17.1557,2.53752,31.71,3.85991,24.12,5.53927,17.31,7.6973,12.02
mixtank,double,29957,1995041,66.5968,no,yes,0.370194,0.672442,0.72333,0.605167,0.360696,23.2789,28.0593,25.3896,15.4012,2.53752,31.71,3.85991,24.12,5.53927,17.31,7.6973,12.02
mixtank,float,29957,1995041,66.5968,no,yes,0.373358,0.787444,0.919819,0.807623,0.475838,27.0847,34.5908,32.6675,20.635,3.22503,20.15,5.20303,16.25,7.56867,11.82,10.6379,8.31
mixtank,float,29957,1995041,66.5968,no,no,0.373362,0.788617,0.919039,0.71489,0.542301,27.6758,33.317,28.0106,22.9846,3.22503,20.15,5.20303,16.25,7.56867,11.82,10.6379,8.31
mixtank,double,29957,1995041,66.5968,yes,no,0.370073,0.672612,0.711533,0.543023,0.393037,23.2446,27.283,21.951,16.9364,2.53752,31.71,3.85991,24.12,5.53927,17.31,7.6973,12.02
mixtank,double,29957,1995041,66.5968,yes,yes,0.370127,0.672432,0.723486,0.605331,0.346937,23.8821,28.1285,24.9502,15.2527,2.53752,31.71,3.85991,24.12,5.53927,17.31,7.6973,12.02
mixtank,float,29957,1995041,66.5968,yes,yes,0.373368,0.787317,0.920195,0.807753,0.4785,27.8636,34.0326,32.1087,20.6485,3.22503,20.15,5.20303,16.25,7.56867,11.82,10.6379,8.31
mixtank,float,29957,1995041,66.5968,yes,no,0.373376,0.787981,0.918413,0.713998,0.542119,27.7446,33.593,28.1044,23.0351,3.22503,20.15,5.20303,16.25,7.56867,11.82,10.6379,8.31
nd6k,double,18000,6897316,383.184,no,no,0.387663,2.00381,2.43526,2.24874,2.01527,78.3996,76.6098,89.2321,81.355,6.45481,80.68,12.3105,76.94,23.0337,71.98,41.2598,64.46
nd6k,double,18000,6897316,383.184,no,yes,0.387715,2.0052,2.42579,2.48716,1.78303,80.0398,94.9577,97.1294,73.7595,6.45481,80.68,12.3105,76.94,23.0337,71.98,41.2598,64.46
nd6k,float,18000,6897316,383.184,no,yes,0.391992,3.21822,4.10062,4.33483,3.27241,119.522,151.372,153.244,127.13,11.433,71.45,21.9784,68.68,41.3322,64.58,74.473,58.18
nd6k,float,18000,6897316,383.184,no,no,0.392047,3.21689,4.118,3.87712,3.646,119.529,147.247,146.597,140.364,11.433,71.45,21.9784,68.68,41.3322,64.58,74.473,58.18
nd6k,double,18000,6897316,383.184,yes,no,0.387576,2.0019,2.42649,2.24137,2.01273,79.8016,88.4295,89.2043,81.2702,6.45481,80.68,12.3105,76.94,23.0337,71.98,41.2598,64.46
nd6k,double,18000,6897316,383.184,yes,yes,0.388165,2.00921,2.42754,2.49024,1.78749,80.1252,92.9368,96.8575,72.6485,6.45481,80.68,12.3105,76.94,23.0337,71.98,41.2598,64.46
nd6k,float,18000,6897316,383.184,yes,yes,0.391935,3.21793,4.09958,4.33359,3.2668,119.203,149.624,156.43,126.467,11.433,71.45,21.9784,68.68,41.3322,64.58,74.473,58.18
nd6k,float,18000,6897316,383.184,yes,no,0.391943,3.21814,4.12115,3.87837,3.64608,118.971,152.337,146.802,140.484,11.433,71.45,21.9784,68.68,41.3322,64.58,74.473,58.18
ns3Da,double,20414,1679599,82.2768,no,no,0.363007,0.288379,0.216429,0.141643,0.0854196,12.2298,9.35799,6.16509,3.78769,1.19521,14.94,1.33373,8.33,1.49744,4.67,1.72463,2.69
ns3Da,double,20414,1679599,82.2768,no,yes,0.363106,0.288479,0.211794,0.142957,0.0690193,12.0415,9.00178,6.25262,3.05738,1.19521,14.94,1.33373,8.33,1.49744,4.67,1.72463,2.69
ns3Da,float,20414,1679599,82.2768,no,yes,0.371546,0.328084,0.264549,0.179421,0.0936342,13.9261,11.4485,7.91319,4.02509,1.26258,7.89,1.45322,4.54,1.70723,2.66,2.09007,1.63
ns3Da,float,20414,1679599,82.2768,no,no,0.371323,0.328215,0.259976,0.1702,0.109663,13.9939,11.3759,7.56529,4.9095,1.26258,7.89,1.45322,4.54,1.70723,2.66,2.09007,1.63
ns3Da,double,20414,1679599,82.2768,yes,no,0.363053,0.288458,0.216434,0.141597,0.0854313,12.2002,9.28986,6.172,3.78561,1.19521,14.94,1.33373,8.33,1.49744,4.67,1.72463,2.69
ns3Da,double,20414,1679599,82.2768,yes,yes,0.363055,0.288488,0.211759,0.142936,0.0691491,12.1044,8.97529,6.24571,3.05373,1.19521,14.94,1.33373,8.33,1.49744,4.67,1.72463,2.69
ns3Da,float,20414,1679599,82.2768,yes,yes,0.371543,0.328004,0.264555,0.179414,0.0936001,13.8538,11.4461,7.93918,4.02888,1.26258,7.89,1.45322,4.54,1.70723,2.66,2.09007,1.63
ns3Da,float,20414,1679599,82.2768,yes,no,0.371363,0.32822,0.260204,0.170197,0.1096,13.9752,11.3753,7.55491,4.93585,1.26258,7.89,1.45322,4.54,1.70723,2.66,2.09007,1.63
pdb1HYS,double,36417,4344765,119.306,no,no,0.381298,1.57404,1.98996,1.84513,1.6465,60.517,74.7636,70.6549,63.1311,6.18497,77.31,11.5357,72.09,20.3068,63.45,34.6943,54.20
pdb1HYS,double,36417,4344765,119.306,no,yes,0.381393,1.57467,2.00911,2.08337,1.50175,60.1307,73.6121,77.9808,60.4507,6.18497,77.31,11.5357,72.09,20.3068,63.45,34.6943,54.20
pdb1HYS,float,36417,4344765,119.306,no,yes,0.383321,2.0582,2.83348,3.29295,2.52831,77.9611,104.488,118.58,96.8359,10.4024,65.01,19.5058,60.95,34.6743,54.17,59.9121,46.80
pdb1HYS,float,36417,4344765,119.306,no,no,0.383541,2.05229,2.8354,2.77304,2.66396,76.4878,105.159,104.588,102.157,10.4024,65.01,19.5058,60.95,34.6743,54.17,59.9121,46.80
pdb1HYS,double,36417,4344765,119.306,yes,no,0.381133,1.57437,1.99576,1.84429,1.64597,58.6669,75.1971,70.7142,65.1258,6.18497,77.31,11.5357,72.09,20.3068,63.45,34.6943,54.20
pdb1HYS,double,36417,4344765,119.306,yes,yes,0.381312,1.57372,2.00984,2.08341,1.50229,60.313,75.0327,77.2392,60.6757,6.18497,77.31,11.5357,72.09,20.3068,63.45,34.6943,54.20
pdb1HYS,float,36417,4344765,119.306,yes,yes,0.383346,2.05671,2.82405,3.29653,2.52969,78.2913,102.065,118.313,94.5739,10.4024,65.01,19.5058,60.95,34.6743,54.17,59.9121,46.80
pdb1HYS,float,36417,4344765,119.306,yes,no,0.383483,2.05839,2.83454,2.77242,2.66376,76.3471,105.563,104.503,101.045,10.4024,65.01,19.5058,60.95,34.6743,54.17,59.9121,46.80
pwtk,double,217918,11634424,53.389,no,no,0.366802,1.27749,1.72836,1.87594,1.75719,52.1113,67.2265,74.6099,72.8435,5.98892,74.86,11.8402,74.00,23.3988,73.12,41.9811,65.59
pwtk,double,217918,11634424,53.389,no,yes,0.366835,1.27684,1.82197,2.22459,1.70435,52.3165,68.8993,85.5846,69.6589,5.98892,74.86,11.8402,74.00,23.3988,73.12,41.9811,65.59
pwtk,float,217918,11634424,53.389,no,yes,0.369113,1.75915,2.21881,2.91017,2.5313,64.0108,83.1923,117.93,103.162,8.9973,56.23,17.7592,55.49,35.0666,54.79,68.6295,53.61
pwtk,float,217918,11634424,53.389,no,no,0.369108,1.7604,2.13347,2.29242,2.54728,63.8532,80.9284,94.4969,106.497,8.9973,56.23,17.7592,55.49,35.0666,54.79,68.6295,53.61
pwtk,double,217918,11634424,53.389,yes,no,0.366818,1.27647,1.72869,1.87222,1.7565,52.3611,66.7255,73.0869,72.8191,5.98892,74.86,11.8402,74.00,23.3988,73.12,41.9811,65.59
pwtk,double,217918,11634424,53.389,yes,yes,0.3668,1.27728,1.82164,2.22461,1.63692,51.8017,68.5682,86.0717,69.5314,5.98892,74.86,11.8402,74.00,23.3988,73.12,41.9811,65.59
pwtk,float,217918,11634424,53.389,yes,yes,0.369147,1.7585,2.21951,2.91072,2.65109,63.0926,83.8096,118.123,104.752,8.9973,56.23,17.7592,55.49,35.0666,54.79,68.6295,53.61
pwtk,float,217918,11634424,53.389,yes,no,0.369092,1.75941,2.13442,2.2931,2.54802,63.602,81.0551,93.2463,106.37,8.9973,56.23,17.7592,55.49,35.0666,54.79,68.6295,53.61
RM07R,double,381689,37464962,98.1557,no,no,0.375915,1.21957,1.4032,1.17935,0.94169,53.3553,59.4252,27.2366,40.6993,4.92902,61.61,8.25144,51.57,13.1098,40.96,19.9369,31.15
RM07R,double,381689,37464962,98.1557,no,yes,0.375923,1.21949,1.41047,1.31668,0.848888,53.3337,59.1688,54.3569,36.2152,4.92902,61.61,8.25144,51.57,13.1098,40.96,19.9369,31.15
RM07R,float,381689,37464962,98.1557,no,yes,0.380284,1.41213,1.81029,1.85366,1.41948,25.0864,78.7321,78.4925,60.9575,6.57389,41.08,11.0391,34.49,18.484,28.88,32.873,25.68
RM07R,float,381689,37464962,98.1557,no,no,0.380285,1.41176,1.81708,1.6039,1.53373,63.7149,79.0802,70.2107,66.9817,6.57389,41.08,11.0391,34.49,18.484,28.88,32.873,25.68
RM07R,double,381689,37464962,98.1557,yes,no,0.375938,1.21966,1.40393,1.18033,0.942238,53.5766,59.5386,50.0484,40.7121,4.92902,61.61,8.25144,51.57,13.1098,40.96,19.9369,31.15
RM07R,double,381689,37464962,98.1557,yes,yes,0.37593,1.21943,1.4106,1.31686,0.84881,53.1928,59.1302,54.582,36.4242,4.92902,61.61,8.25144,51.57,13.1098,40.96,19.9369,31.15
RM07R,float,381689,37464962,98.1557,yes,yes,0.380277,1.41237,1.81001,1.85414,1.47013,63.8184,78.8316,78.9167,63.5365,6.57389,41.08,11.0391,34.49,18.484,28.88,32.873,25.68
RM07R,float,381689,37464962,98.1557,yes,no,0.380263,1.41193,1.81775,1.60372,1.53421,63.9078,78.8871,70.2019,67.3487,6.57389,41.08,11.0391,34.49,18.484,28.88,32.873,25.68
